,Hotel Name,Rating,Rating Group,Free WiFi,Airport Shuttle,Distance From Airport,Restaurant,Private Parking,Bar,Non Smoking Rooms,Pet Friendly,Elevator
1930,Hotel Kent,7.8,3.0,True,True,14.6,False,True,True,True,False,True
1931,Centauro Hotel,8.4,3.0,True,False,7.8,False,False,False,True,False,False
1932,Appartamenti MarcoAurelio49,8.9,3.0,True,True,12.5,False,True,False,True,True,False
1933,Signoria Imperial,8.7,3.0,True,False,5.9,False,False,False,True,False,False
1934,casa vacanze,8.5,3.0,True,True,3.7,False,True,False,True,False,False
1935,"The Pantheon Iconic Rome Hotel, Autograph Collection",8.8,3.0,True,False,14.5,True,True,True,True,True,False
1936,Casa Al Poggetto,9.0,3.0,True,False,3.7,False,True,False,True,False,False
1937,Firenze Rooms Cathedral B&B,7.7,3.0,True,False,5.4,False,False,False,True,True,False
1938,Casa Bella Adriano's Temple,8.7,3.0,True,False,14.5,False,False,False,True,True,True
1939,Hotel Malibran,7.8,3.0,True,False,7.3,True,False,True,True,True,False
1940,Maison Venezia | UNA Esperienze,8.9,3.0,True,False,7.0,False,False,False,True,True,False
1941,The White Side,9.1,3.0,False,False,4.4,False,False,False,False,False,False
1942,Hotel Pierre,8.7,3.0,True,False,5.5,False,False,True,True,False,False
1943,Gregoriana Suite,9.2,3.0,True,True,14.6,False,True,False,False,True,False
1944,Holiday Apartment Bernini Near The Trevi Fountain - 5 Bedroom,8.8,3.0,True,False,14.4,False,False,False,True,True,False
1945,Palazzo Vecchietti - Residenza D'Epoca,9.8,3.0,True,False,5.4,False,True,False,True,True,False
1946,Sette Angeli Rooms,8.9,3.0,True,True,5.0,False,True,False,True,True,False
1947,DOMUS CARLA,10.0,3.0,True,False,8.2,True,False,False,False,False,False
1948,Hotel La Stazione,7.9,3.0,True,False,3.0,False,False,False,True,True,False
1949,Hotel Pyramid,7.5,2.0,True,True,12.3,True,False,True,True,False,False
1950,Locanda Fiorita,8.8,3.0,True,False,7.9,False,False,False,True,False,False
1951,Il Balcone Sui Presepi Apartment,9.4,3.0,True,False,3.8,False,True,False,True,True,True
1952,Il Villino Rosa Apartments,9.1,3.0,True,False,3.7,False,False,False,True,False,False
1953,Maison Tritone,9.7,3.0,True,True,14.4,False,False,False,True,False,True
1954,Ricomincio Da Qui,9.7,3.0,True,False,2.8,False,True,False,True,False,True
1955,Cicerone Guest House,8.7,3.0,True,False,5.0,False,False,False,True,False,False
1956,Eugenia e Donato,7.4,2.0,True,False,5.3,False,False,False,True,False,True
1957,Cameo B&B,9.7,3.0,True,False,6.1,False,True,False,False,False,False
1958,B&B Art House By Dimorra,8.8,3.0,True,True,3.4,False,True,False,True,False,False
1959,Guest House Ca' dell'Angelo,9.2,3.0,True,False,8.0,False,False,False,True,True,False
1960,Prisca B&B,9.0,3.0,True,False,5.7,False,False,True,True,False,False
1961,Stay In Rome,9.1,3.0,True,True,14.6,False,False,False,False,False,True
1962,Appartamento Masha,9.2,3.0,True,False,7.8,False,False,False,True,False,True
1963,ricasoli51,8.6,3.0,True,False,5.4,False,False,False,True,False,False
1964,Naplesuite,9.6,3.0,True,True,4.6,False,True,False,True,False,True
1965,Wine Apartments Florence Ansonica,8.2,3.0,True,False,6.3,False,False,False,True,True,False
1966,B&B Bloom Settimo Cielo,9.2,3.0,True,False,7.9,False,False,False,True,False,False
1967,Relais de l'Opera - Relais de l'Opera Group,8.8,3.0,True,True,13.8,False,True,False,True,False,False
1968,Residence Leopoldo,9.4,3.0,True,False,4.1,False,True,False,True,False,True
1969,Calle dei Fabbri San Marco Apartment,8.8,3.0,True,True,7.8,False,False,False,True,False,False
1970,Colosseum Music Design,9.8,3.0,True,True,12.8,False,False,False,True,False,True
1971,A' Casa e Mammá,0.0,0.0,True,False,3.8,False,False,False,False,True,False
1972,Le Vele di Venezia,9.0,3.0,True,False,7.9,False,False,False,True,False,False
1973,Luxury,8.1,3.0,True,True,2.6,False,True,True,True,False,True
1974,Cavour37 Apartments,8.4,3.0,True,False,5.3,True,False,True,True,True,False
1975,Locanda Balbi,8.1,3.0,True,False,7.7,False,False,False,True,True,False
1976,Culture Hotel Villa Capodimonte,7.7,3.0,True,False,2.5,True,True,True,True,True,False
1977,Hotel Regency - Small Luxury Hotels of the World,8.8,3.0,True,False,6.2,False,True,True,True,True,False
1978,B&B Old Florence Inn,8.6,3.0,True,False,4.9,False,True,False,True,False,True
1979,Hotel Europa,8.1,3.0,True,True,3.7,False,True,True,True,True,False
1980,Antico Albergo del Sole al Pantheon,8.9,3.0,True,True,14.6,False,False,True,True,False,False
1981,Rialto Bridge Luxury apartment,9.4,3.0,True,False,7.4,False,False,False,True,True,False
1982,Pantheon 2 Bedrooms,9.5,3.0,True,True,14.7,False,False,False,True,False,False
1983,Re Diego,9.2,3.0,True,True,3.0,False,False,True,True,True,False
1984,B&B My Way,8.8,3.0,True,False,5.0,False,False,False,True,False,True
1985,Affaccio su Piazza Navona,8.2,3.0,True,True,15.0,False,True,False,False,False,False
1986,JW Marriott Venice Resort & Spa,8.6,3.0,True,True,11.0,False,False,True,False,True,False
1987,Ca' Delfina Holiday Home,9.4,3.0,True,False,8.2,False,False,False,True,False,False
1988,Maison Étoile,8.9,3.0,True,False,3.0,False,True,False,True,False,False
1989,Trastevere luxury house,8.8,3.0,True,True,14.0,False,True,False,True,False,False
1990,FH55 Hotel Calzaiuoli,8.9,3.0,True,False,5.6,False,True,True,True,True,False
1991,Casa pergoletto,9.1,3.0,True,False,7.7,False,False,False,True,False,False
1992,Cavourotto Terrace,8.0,3.0,True,False,5.4,False,False,False,True,False,False
1993,Palazzo dei Conti Residenza d'Epoca,9.6,3.0,True,False,5.2,False,True,False,True,False,True
1994,Castello - Laguna Luxury Residence,7.7,3.0,True,True,8.1,False,False,False,True,False,False
1995,Majestic Rialto House,8.2,3.0,True,True,7.3,False,False,False,True,False,False
1996,Signoria View Apartment,9.4,3.0,False,False,5.7,False,False,False,False,False,True
